tree_amount,attribute_amount,accuracy,error_rate,precision_macro,precision_micro,recall_macro,recall_micro,labels_M_vp,labels_M_fp,labels_M_fn,labels_M_precision,labels_M_recall,labels_M_f_measure,labels_B_vp,labels_B_fp,labels_B_fn,labels_B_precision,labels_B_recall,labels_B_f_measure
25,5,0.9642857142857143,0.0357142857142857,0.9601706970128023,0.9642857142857143,0.9601706970128023,0.9642857142857143,18,1,1,0.9473684210526315,0.9473684210526315,0.9473684210526315,36,1,1,0.972972972972973,0.972972972972973,0.972972972972973
25,5,0.9384615384615385,0.06153846153846154,0.95,0.9384615384615385,0.9310344827586207,0.9384615384615385,25,0,4,1.0,0.8620689655172413,0.9259259259259259,36,4,0,0.9,1.0,0.9473684210526316
30,5,0.9821428571428571,0.017857142857142905,0.9888888888888889,0.9821428571428571,0.9583333333333333,0.9821428571428571,11,0,1,1.0,0.9166666666666666,0.9565217391304348,44,1,0,0.9777777777777777,1.0,0.9887640449438202
30,5,0.9642857142857143,0.0357142857142857,0.9545454545454546,0.9642857142857143,0.9722222222222222,0.9642857142857143,20,2,0,0.9090909090909091,1.0,0.9523809523809523,34,0,2,1.0,0.9444444444444444,0.9714285714285714
30,5,0.9107142857142857,0.0892857142857143,0.9342105263157895,0.9107142857142857,0.8913043478260869,0.9107142857142857,18,0,5,1.0,0.782608695652174,0.878048780487805,33,5,0,0.868421052631579,1.0,0.9295774647887324
30,5,0.9285714285714286,0.0714285714285714,0.9282051282051282,0.9285714285714286,0.9282051282051282,0.9285714285714286,24,2,2,0.9230769230769231,0.9230769230769231,0.9230769230769231,28,2,2,0.9333333333333333,0.9333333333333333,0.9333333333333333
30,5,0.9642857142857143,0.0357142857142857,0.9635416666666667,0.9642857142857143,0.9635416666666667,0.9642857142857143,23,1,1,0.9583333333333334,0.9583333333333334,0.9583333333333334,31,1,1,0.96875,0.96875,0.96875
30,5,0.9642857142857143,0.0357142857142857,0.9705882352941176,0.9642857142857143,0.9583333333333333,0.9642857142857143,22,0,2,1.0,0.9166666666666666,0.9565217391304348,32,2,0,0.9411764705882353,1.0,0.9696969696969697
30,5,0.9464285714285714,0.0535714285714286,0.9478609625668449,0.9464285714285714,0.9413702239789197,0.9464285714285714,21,1,2,0.9545454545454546,0.9130434782608695,0.9333333333333332,32,2,1,0.9411764705882353,0.9696969696969697,0.955223880597015
30,5,0.9285714285714286,0.0714285714285714,0.9111111111111111,0.9285714285714286,0.9327485380116959,0.9285714285714286,17,3,1,0.85,0.9444444444444444,0.8947368421052632,35,1,3,0.9722222222222222,0.9210526315789473,0.9459459459459458
