tree_amount,attribute_amount,accuracy,error_rate,precision_macro,precision_micro,recall_macro,recall_micro,labels_1_vp,labels_1_fp,labels_1_fn,labels_1_precision,labels_1_recall,labels_1_f_measure,labels_2_vp,labels_2_fp,labels_2_fn,labels_2_precision,labels_2_recall,labels_2_f_measure,labels_3_vp,labels_3_fp,labels_3_fn,labels_3_precision,labels_3_recall,labels_3_f_measure
45,3,1.0,0.0,1.0,1.0,1.0,1.0,6,0,0,1.0,1.0,1.0,5,0,0,1.0,1.0,1.0,6,0,0,1.0,1.0,1.0
45,3,0.9411764705882353,0.05882352941176472,0.9444444444444445,0.9411764705882353,0.9444444444444445,0.9411764705882353,5,1,0,0.8333333333333334,1.0,0.9090909090909091,5,0,1,1.0,0.8333333333333334,0.9090909090909091,6,0,0,1.0,1.0,1.0
45,3,0.9411764705882353,0.05882352941176472,0.9583333333333334,0.9411764705882353,0.9444444444444445,0.9411764705882353,4,0,0,1.0,1.0,1.0,5,0,1,1.0,0.8333333333333334,0.9090909090909091,7,1,0,0.875,1.0,0.9333333333333333
45,3,1.0,0.0,1.0,1.0,1.0,1.0,6,0,0,1.0,1.0,1.0,6,0,0,1.0,1.0,1.0,5,0,0,1.0,1.0,1.0
45,3,1.0,0.0,1.0,1.0,1.0,1.0,4,0,0,1.0,1.0,1.0,10,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
45,3,1.0,0.0,1.0,1.0,1.0,1.0,7,0,0,1.0,1.0,1.0,9,0,0,1.0,1.0,1.0,1,0,0,1.0,1.0,1.0
45,3,0.96,0.040000000000000036,0.9666666666666667,0.96,0.9629629629629629,0.96,7,0,0,1.0,1.0,1.0,8,0,1,1.0,0.8888888888888888,0.9411764705882353,9,1,0,0.9,1.0,0.9473684210526316
50,3,1.0,0.0,1.0,1.0,1.0,1.0,8,0,0,1.0,1.0,1.0,4,0,0,1.0,1.0,1.0,5,0,0,1.0,1.0,1.0
50,3,1.0,0.0,1.0,1.0,1.0,1.0,5,0,0,1.0,1.0,1.0,9,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
50,3,1.0,0.0,1.0,1.0,1.0,1.0,7,0,0,1.0,1.0,1.0,6,0,0,1.0,1.0,1.0,4,0,0,1.0,1.0,1.0
50,3,0.9411764705882353,0.05882352941176472,0.9583333333333334,0.9411764705882353,0.9629629629629629,0.9411764705882353,1,0,0,1.0,1.0,1.0,8,0,1,1.0,0.8888888888888888,0.9411764705882353,7,1,0,0.875,1.0,0.9333333333333333
50,3,1.0,0.0,1.0,1.0,1.0,1.0,8,0,0,1.0,1.0,1.0,5,0,0,1.0,1.0,1.0,4,0,0,1.0,1.0,1.0
50,3,1.0,0.0,1.0,1.0,1.0,1.0,5,0,0,1.0,1.0,1.0,10,0,0,1.0,1.0,1.0,2,0,0,1.0,1.0,1.0
50,3,1.0,0.0,1.0,1.0,1.0,1.0,6,0,0,1.0,1.0,1.0,6,0,0,1.0,1.0,1.0,5,0,0,1.0,1.0,1.0
50,3,1.0,0.0,1.0,1.0,1.0,1.0,8,0,0,1.0,1.0,1.0,4,0,0,1.0,1.0,1.0,5,0,0,1.0,1.0,1.0
50,3,1.0,0.0,1.0,1.0,1.0,1.0,4,0,0,1.0,1.0,1.0,9,0,0,1.0,1.0,1.0,4,0,0,1.0,1.0,1.0
50,3,0.88,0.12,0.9,0.88,0.8888888888888888,0.88,7,3,0,0.7,1.0,0.8235294117647058,6,0,3,1.0,0.6666666666666666,0.8,9,0,0,1.0,1.0,1.0
